Teema, Muistiinpanokappaleet
Pirstaleinen kenttä, 1.1, 1.9, 1.14
Teknologioiden omaksunta, 1.1, 1.34
Maatilojen yksilöllisyys, 1.1
Teollisuusautomaatio, 1.3, 1.6,	1.20, 1.25, 1.36
Kasvihuoneautomaatio, 1.4, 1.36
Monikerrosviljely, 1.4
Automaattiset huoltokutsut, 1.4
Valmistajien datan keräys, 1.4
Yhden valmistajan kokonaisratkaisu, 1.5
Datan saatavuus, 1.6
Rajapinnat, 1.6
Yhteen valmistajaan lukittuminen, 1.6
Kokonaisvaltainen maatilanhallintajärjestelmä, 1.7
Full-liner, 1.7, 1.8, 1.11, 1.15
Laitteiden yhteensopivuus, 1.7
ISOBUS, 1.9
Täsmäviljely, 1.10, 1.33, 1.34
Työn tehostaminen, 1.11
Automaattiohjaus, 1.11
Telemetria, 1.11, 1.41
Tuotantoprosessien optimointi, 1.11, 1.28, 1.33
Urakoitsijat, 1.11
Pilvipalvelut, 1.12, 1.15, 1.16
Tuotantoketjun data, 1.13, 1.42, 1.43, 1.44, 1.45
Valmistajien yhteistoiminta, 1.14
Avoimet standardit, 1.14
Liiketoiminnan ekosysteemi, 1.14
Walled garden, 1.15
Käyttötarpeiden suuri kirjo, 1.15
Tiedon tuottama lisäarvo, 1.15
Datan alustapalvelu, 1.16
Tuotantotapatieto, 1.17, 1.43
Sadon tunnistetieto, 1.17
Erillinen arvoerä, 1.17
Verkostoitumisalusta myyntiin ja ostoihin, 1.18h, 1.27
Investointien laskentaan ei ole tietoa, 1.19
Aitojen IoT-järjestelmien saatavuus, 1.20
Sensoridata, 1.20, 1.22, 1.25
Autom. viljelyyn vaikuttaminen, 1.20
Operatiivinen laitteiden älykkyys, 1.22
Yara N-sensor, 1.20
Keinoäly, 1.23,	1.24
ROI, 1.23
Sadonlisä, 1.23
Systeemiautomaatio, 1.24
Analytiikka, 1.24
Päätöksentekon avustaminen, 1.24, 1.48
Järjestelmäintegraatio, 1.25
Farmobile.com, 1.26, 1.27
Farmersbusinessnetwork.com, 1.26, 1.27
Farmidiili, 1.27
Laatuerien tunnistaminen, 1.28, 1.43, 1.44, 1.45
Tilamäärän väheneminen, 1.29
Liiketoimintamainen toiminta, 1.29
Teknologiaomaksumisen kynnys, 1.29
Kokemustiedon jako, 1.29
Perustellut investoinnit, 1.29, 1.30, 1.35
Avoimet standardit, 1.30, 1.32
Uudet liiketoimintamallit, 1.30, 1.34, 1.48
Teollinen Ethernet, 1.31
Asteittainen omaksunta, 1.31
Elinkaari, 1.31
Tietoturva, 1.32
Tutkimuksen pitkä aikajänne, 1.33
Siirtymä datan käyttöön, 1.33
Lisäarvo tuotteelle, 1.33
Ilmastonmuutoksen uhat, 1.33
EU-maataloustuki, 1.33
Tilakoon kasvu, 1.33
Käyttäjäystävällisyys, 1.34
Smart Farming, 1.34, 1.47
Älykkäät laitteet, 1.34, 1.35
Langaton tietoliikenne, 1.37, 1.39
Matkapuhelinverkot, 1.38, 1.39
Peltojen hajanaisuus, 1.38, 1.40, 1.41
UA-laitteet, 1.39
5G-verkko, 1.39
VTT Owela, 1.42
Kuluttajien ymmärryshaaste, 1.43
Dataperustainen laatuhinnoittelu, 1.43, 1.44, 1.45
Ruokaturva, 1.47,
Digitaalinen mitattu tieto, 1.48
Väestönkasvu, 1.48
Kannattavuus, 1.48
