Haastattelussa 1;Haastattelussa 2;Haastattelussa 3;Haastattelussa 4;Haastattelussa 5;Category;Subcategory;Code;Se-;gm-;en-;ts ;;;;;;;;;;;;;;;;;;;;;
1;3;0;1;0;Maataloustuotanto;Data;Datan merkitys ja merkityksen ymmÌ_rrys;1.43;2.17;2.29;2.40;4.11;;;;;;;;;;;;;;;;;;;;
0;0;0;0;1;Maataloustuotanto;Data;Datan oikea-aikainen esitys kÌ_yttÌ_jÌ_lle;5.4;;;;;;;;;;;;;;;;;;;;;;;;
3;0;0;0;0;Maataloustuotanto;Data;Dataperustainen laatuhinnoittelu;1.43;1.44;1.45;;;;;;;;;;;;;;;;;;;;;;
0;3;0;0;1;Maataloustuotanto;Data;Tuotannon historiatiedot;2.27;2.33;2.38;5.1;;;;;;;;;;;;;;;;;;;;;
0;0;4;0;0;Maataloustuotanto;Laitteet;Hintojen halpeneminen;3.38;3.45;3.46;3.47;;;;;;;;;;;;;;;;;;;;;
3;1;1;3;4;Maataloustuotanto;Laitteet;Integraatio laitteiden yhteensopivuus;1.7;1.9;1.25;2.6;3.4;4.2;4.5;4.6;5.1;5.3;5.13;5.18;;;;;;;;;;;;;
5;2;1;1;0;Maataloustuotanto;Laitteet;Laitteiston ROI;1.10;1.11;1.19;1.23;1.29;2.15;2.36;3.43;4.8;;;;;;;;;;;;;;;;
0;0;1;1;0;Maataloustuotanto;Laitteet;Toimintavarmuus;3.29;4.25;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;2;0;Maataloustuotanto;Laitteet;UA-laitteet;1.39;2.39;3.13;3.14;4.10;4.11;;;;;;;;;;;;;;;;;;;
0;0;1;1;0;Maataloustuotanto;Laitteet;Vaatimukset maataloudessa;3.29;4.25;;;;;;;;;;;;;;;;;;;;;;;
3;1;0;0;0;Maataloustuotanto;Laitteet;ÌãlykkÌ_Ì_t Operatiivinen laitteiden Ì_lykkyys;1.22;1.34;1.35;2.3;;;;;;;;;;;;;;;;;;;;;
2;1;0;0;0;Maataloustuotanto;Maatila;Liiketoimintamainen toiminta;1.29;1.30;2.30;;;;;;;;;;;;;;;;;;;;;;
0;3;0;0;0;Maataloustuotanto;Sato;Ennusteet Arviot;2.22;2.23;2.34;;;;;;;;;;;;;;;;;;;;;;
1;0;0;1;0;Maataloustuotanto;Sato;Erillinen arvoerÌ_;1.17;4.15;;;;;;;;;;;;;;;;;;;;;;;
