Code,Haastattelussa 1,Haastattelussa 2,Haastattelussa 3,Haastattelussa 4,Haastattelussa 5
Maataloustuotanto-Data-Datan merkitys ja merkityksen ymmärrys,1,3,0,1,0
Maataloustuotanto-Data-Datan oikea-aikainen esitys käyttäjälle,0,0,0,0,1
Maataloustuotanto-Data-Dataperustainen laatuhinnoittelu,3,0,0,0,0
Maataloustuotanto-Data-Tuotannon historiatiedot,0,3,0,0,1
Maataloustuotanto-Laitteet-Hintojen halpeneminen,0,0,4,0,0
Maataloustuotanto-Laitteet-Integraatio laitteiden yhteensopivuus,3,1,1,3,4
Maataloustuotanto-Laitteet-Laitteiston ROI,5,2,1,1,0
Maataloustuotanto-Laitteet-Toimintavarmuus,0,0,1,1,0
Maataloustuotanto-Laitteet-UA-laitteet,1,1,2,2,0
Maataloustuotanto-Laitteet-Vaatimukset maataloudessa,0,0,1,1,0
Maataloustuotanto-Laitteet-Älykkäät Operatiivinen laitteiden älykkyys,3,1,0,0,0
Maataloustuotanto-Maatila-Liiketoimintamainen toiminta,2,1,0,0,0
Maataloustuotanto-Sato-Ennusteet Arviot,0,3,0,0,0
Maataloustuotanto-Sato-Erillinen arvoerä,1,0,0,1,0
Maataloustuotanto-Sato-Laatuerien tunnistaminen,5,0,0,0,0
Maataloustuotanto-Sato-Sadonlisä,1,2,0,0,1
Maataloustuotanto-Talous-Investointien laskentaan ei ole tietoa,1,0,0,0,0
Maataloustuotanto-Talous-Kannattavuus,2,5,1,3,2
Maataloustuotanto-Talous-Perustellut investoinnit,3,1,1,0,0
Maataloustuotanto-Tehostaminen-Koneiden käyttö,0,0,0,0,1
Maataloustuotanto-Tehostaminen-Logistiikka,0,0,0,0,1
Maataloustuotanto-Tehostaminen-Maatilan toiminnassa yleisesti,0,2,0,1,0
Maataloustuotanto-Tehostaminen-Resurssien käyttö panokset lannoitteet jne.,2,2,0,0,1
Maataloustuotanto-Tehostaminen-Työn helpottaminen,1,1,0,0,4
Maataloustuotanto-Tehostaminen-Viljelyprosessien (tuotanto-) optimointi/automatisointi,2,5,2,2,5
Maataloustuotanto-Tietojenkäsittely-Päätöksentekon avustaminen,3,8,1,1,5
Maataloustuotanto-Tietojenkäsittely-Viljelysuositukset,1,8,0,0,1
Maataloustuotanto-Tuotantojärjestelmät-Automaattinen/automatisoitu viljelyyn vaikuttaminen,1,0,0,1,0
Maataloustuotanto-Tuotantojärjestelmät-Järjestelmäintegraatio,1,8,1,4,3
Maataloustuotanto-Tuotantoketju-Tuotantoketjun Verkostoitumisalusta myyntiin ja ostoihin,3,0,0,0,0
Maataloustuotanto-Tuotantopanokset-Lannoitepanokset,0,3,0,1,0
Maataloustuotanto-Tuotantopanokset-Lannoitus Ravinteet Syötteet,4,2,1,2,1
